Date,Time,Open,High,Low,Close,Volume,,,,,,20240101,230100
1/1/2024,11:41 PM,17032.5,17033.5,17031.25,17032.5,253,,,,,,20240101,234200
1/1/2024,11:42 PM,17032.75,17032.75,17030.25,17031,96,,,,,,20240101,234300
1/1/2024,11:43 PM,17031.25,17031.25,17029.25,17029.75,185,,,,,,20240101,234400
1/1/2024,11:44 PM,17030.25,17030.25,17029.5,17030,83,,,,,,20240101,234500
1/1/2024,11:45 PM,17030,17030,17027.5,17027.5,180,,,,,,20240101,234600
1/1/2024,11:46 PM,17027.5,17029.25,17027.5,17028.75,103,,,,,,20240101,234700
1/1/2024,11:47 PM,17028.75,17029,17027.75,17029,63,,,,,,20240101,234800
1/1/2024,11:48 PM,17029,17029.25,17028.75,17029,27,,,,,,20240101,234900
1/1/2024,11:49 PM,17029,17029.25,17027.5,17028,145,,,,,,20240101,235000
1/1/2024,11:50 PM,17027.75,17029.5,17027,17029,93,,,,,,20240101,235100
1/1/2024,11:51 PM,17029,17029.75,17028.5,17029.25,71,,,,,,20240101,235200
1/1/2024,11:52 PM,17029.5,17029.5,17028,17028.5,73,,,,,,20240101,235300
1/1/2024,11:53 PM,17028.5,17030,17028.5,17030,39,,,,,,20240101,235400
1/1/2024,11:54 PM,17030,17031.25,17029.5,17031,111,,,,,,20240101,235500
1/1/2024,11:55 PM,17031,17031.75,17029.75,17030.5,112,,,,,,20240101,235600
1/1/2024,11:56 PM,17030.5,17031,17029.75,17030.25,95,,,,,,20240101,235700
1/1/2024,11:57 PM,17030.5,17030.75,17030,17030.25,28,,,,,,20240101,235800
1/1/2024,11:58 PM,17030,17030.75,17029.25,17029.25,18,,,,,,20240101,235900
1/1/2024,11:59 PM,17029.75,17030,17029,17029.75,20,,,,,,20240102,0
1/2/2024,12:00 AM,17029.75,17030,17029.5,17029.75,16,,,,,,20240102,100
1/2/2024,12:01 AM,17029.75,17030.75,17027.5,17028,186,,,,,,20240102,200
1/2/2024,12:02 AM,17028.25,17029.75,17027.25,17028.25,156,,,,,,20240102,300
1/2/2024,12:03 AM,17028,17028.5,17028,17028,16,,,,,,20240102,400
1/2/2024,12:04 AM,17028,17029.75,17028,17029.25,59,,,,,,20240102,500
1/2/2024,12:05 AM,17029.5,17029.5,17029.25,17029.5,22,,,,,,20240102,600
1/2/2024,12:06 AM,17029.25,17029.75,17028.25,17028.25,63,,,,,,20240102,700
1/2/2024,12:07 AM,17028.25,17028.5,17027.25,17028,86,,,,,,20240102,800
1/2/2024,12:08 AM,17028,17029,17027.75,17028,64,,,,,,20240102,900
1/2/2024,12:09 AM,17028,17028.75,17028,17028.25,53,,,,,,20240102,1000
1/2/2024,12:10 AM,17028.5,17029.25,17028.25,17029.25,28,,,,,,20240102,1100
1/2/2024,12:11 AM,17029.5,17029.5,17028.25,17028.75,33,,,,,,20240102,1200
1/2/2024,12:12 AM,17028.5,17028.75,17028,17028.75,27,,,,,,20240102,1300
1/2/2024,12:13 AM,17028.5,17029.25,17027.25,17027.25,49,,,,,,20240102,1400
1/2/2024,12:14 AM,17027.75,17028,17026.75,17027,107,,,,,,20240102,1500
1/2/2024,12:15 AM,17027.5,17028,17027.25,17027.75,52,,,,,,20240102,1600
1/2/2024,12:16 AM,17027.5,17028.5,17026.5,17027,91,,,,,,20240102,1700
1/2/2024,12:17 AM,17027.5,17028,17027.25,17027.25,60,,,,,,20240102,1800
1/2/2024,12:18 AM,17027.5,17028.25,17026.5,17027.25,37,,,,,,20240102,1900
1/2/2024,12:19 AM,17027,17027,17026,17026,55,,,,,,20240102,2000
1/2/2024,12:20 AM,17026,17026.5,17025,17025.25,109,,,,,,20240102,2100
1/2/2024,12:21 AM,17025.25,17026,17024.5,17025.5,57,,,,,,20240102,2200
1/2/2024,12:22 AM,17025.5,17025.75,17024.5,17024.5,39,,,,,,20240102,2300
1/2/2024,12:23 AM,17025,17025.5,17024.25,17024.75,113,,,,,,20240102,2400
1/2/2024,12:24 AM,17025.25,17025.5,17023.75,17024,74,,,,,,20240102,2500
1/2/2024,12:25 AM,17024,17025.75,17024,17025.75,72,,,,,,20240102,2600
1/2/2024,12:26 AM,17025,17025.5,17024.75,17024.75,25,,,,,,20240102,2700
1/2/2024,12:27 AM,17024.75,17025.25,17022.5,17023,172,,,,,,20240102,2800
1/2/2024,12:28 AM,17022.5,17022.75,17020.75,17021,221,,,,,,20240102,2900
1/2/2024,12:29 AM,17021.5,17021.75,17020.25,17020.5,105,,,,,,20240102,3000
1/2/2024,12:30 AM,17020.75,17020.75,17018.5,17019.75,178,,,,,,20240102,3100
1/2/2024,12:31 AM,17020,17020,17018.75,17019.25,94,,,,,,20240102,3200
1/2/2024,12:32 AM,17019,17019.75,17018.5,17019.25,55,,,,,,20240102,3300
1/2/2024,12:33 AM,17019.25,17020,17019.25,17019.75,45,,,,,,20240102,3400
1/2/2024,12:34 AM,17019.75,17022,17019.5,17021.75,131,,,,,,20240102,3500
1/2/2024,12:35 AM,17021.75,17022.75,17021.75,17022.75,53,,,,,,20240102,3600
1/2/2024,12:36 AM,17022.75,17024.75,17022.75,17024.75,123,,,,,,20240102,3700
1/2/2024,12:37 AM,17024.75,17025,17024.25,17024.75,106,,,,,,20240102,3800
1/2/2024,12:38 AM,17024.75,17026.25,17024.25,17026,102,,,,,,20240102,3900
1/2/2024,12:39 AM,17025.75,17027.25,17025.75,17027,184,,,,,,20240102,4000
1/2/2024,12:40 AM,17027,17027.5,17026,17027,112,,,,,,20240102,4100
1/2/2024,12:41 AM,17027.25,17027.25,17027,17027.25,25,,,,,,20240102,4200
1/2/2024,12:42 AM,17027,17027,17023.5,17024.25,117,,,,,,20240102,4300
1/2/2024,12:43 AM,17024.25,17024.75,17023.75,17024.75,45,,,,,,20240102,4400
1/2/2024,12:44 AM,17024.75,17025.25,17024.5,17025.25,26,,,,,,20240102,4500
1/2/2024,12:45 AM,17025.5,17026.25,17025,17026,33,,,,,,20240102,4600
1/2/2024,12:46 AM,17026.25,17026.75,17024.75,17025.25,51,,,,,,20240102,4700
1/2/2024,12:47 AM,17025.25,17026,17025,17026,26,,,,,,20240102,4800
1/2/2024,12:48 AM,17026,17026,17024.25,17024.5,31,,,,,,20240102,4900
1/2/2024,12:49 AM,17024.75,17025.5,17024.75,17025.25,18,,,,,,20240102,5000
1/2/2024,12:50 AM,17025.25,17026.25,17024.5,17026.25,42,,,,,,20240102,5100
1/2/2024,12:51 AM,17026.5,17027.25,17026,17026,112,,,,,,20240102,5200
1/2/2024,12:52 AM,17026.75,17027.25,17026.5,17026.75,54,,,,,,20240102,5300
1/2/2024,12:53 AM,17027.25,17027.5,17026.5,17026.75,25,,,,,,20240102,5400
1/2/2024,12:54 AM,17027,17027.25,17026.75,17027.25,28,,,,,,20240102,5500
1/2/2024,12:55 AM,17027,17027,17026,17026.25,29,,,,,,20240102,5600
1/2/2024,12:56 AM,17026.25,17026.75,17026.25,17026.5,36,,,,,,20240102,5700
1/2/2024,12:57 AM,17026.5,17027.5,17026.5,17027,48,,,,,,20240102,5800
1/2/2024,12:58 AM,17027,17027.75,17026.25,17026.25,103,,,,,,20240102,5900
1/2/2024,12:59 AM,17026.25,17026.75,17025.75,17026.25,52,,,,,,20240102,10000
1/2/2024,1:00 AM,17026.25,17027,17025.75,17027,58,,,,,,20240102,10100
1/2/2024,1:01 AM,17026.75,17027.75,17026.25,17027.25,219,,,,,,20240102,10200
1/2/2024,1:02 AM,17027,17029.5,17026.5,17029.25,225,,,,,,20240102,10300
1/2/2024,1:03 AM,17029.5,17032,17029,17032,189,,,,,,20240102,10400
1/2/2024,1:04 AM,17032,17033.25,17031.25,17032.5,232,,,,,,20240102,10500
1/2/2024,1:05 AM,17032.5,17037,17032.5,17035.5,420,,,,,,20240102,10600
1/2/2024,1:06 AM,17035.5,17038.5,17035.25,17037.75,475,,,,,,20240102,10700
1/2/2024,1:07 AM,17037.75,17038.5,17037,17037.25,290,,,,,,20240102,10800
1/2/2024,1:08 AM,17037.75,17037.75,17036,17036,177,,,,,,20240102,10900
1/2/2024,1:09 AM,17036,17036.75,17033.5,17033.75,147,,,,,,20240102,11000
1/2/2024,1:10 AM,17033.75,17033.75,17032,17033,221,,,,,,20240102,11100
1/2/2024,1:11 AM,17032.5,17033.5,17031.75,17033.25,184,,,,,,20240102,11200
1/2/2024,1:12 AM,17033.25,17033.5,17031.25,17031.75,181,,,,,,20240102,11300
1/2/2024,1:13 AM,17031.75,17032.25,17030.75,17031.75,127,,,,,,20240102,11400
1/2/2024,1:14 AM,17032,17032.5,17029.5,17030.75,280,,,,,,20240102,11500
1/2/2024,1:15 AM,17031,17031,17028.5,17029.25,237,,,,,,20240102,11600
1/2/2024,1:16 AM,17029.5,17033,17029.5,17032.75,384,,,,,,20240102,11700
1/2/2024,1:17 AM,17032.5,17034.75,17032,17034.75,177,,,,,,20240102,11800
1/2/2024,1:18 AM,17034.5,17035,17033.5,17035,86,,,,,,20240102,11900
1/2/2024,1:19 AM,17035,17035.5,17033.75,17035.25,80,,,,,,20240102,12000
1/2/2024,1:20 AM,17035.25,17035.75,17034.5,17035.5,63,,,,,,20240102,12100
1/2/2024,1:21 AM,17035.75,17036.5,17032.75,17032.75,299,,,,,,20240102,12200
1/2/2024,1:22 AM,17033,17033.5,17032.25,17032.5,97,,,,,,20240102,12300
1/2/2024,1:23 AM,17032.5,17032.75,17031.5,17031.5,74,,,,,,20240102,12400
1/2/2024,1:24 AM,17031.75,17033,17031.5,17032.75,55,,,,,,20240102,12500
1/2/2024,1:25 AM,17032.75,17033.75,17032.25,17033.25,60,,,,,,20240102,12600
1/2/2024,1:26 AM,17033.75,17034,17031.75,17032,67,,,,,,20240102,12700
1/2/2024,1:27 AM,17032,17032.75,17031.5,17032.25,84,,,,,,20240102,12800
1/2/2024,1:28 AM,17032.25,17032.5,17031.5,17031.75,58,,,,,,20240102,12900
1/2/2024,1:29 AM,17031.75,17031.75,17029.5,17030,183,,,,,,20240102,13000
1/2/2024,1:30 AM,17030,17030,17027,17029,307,,,,,,20240102,13100
1/2/2024,1:31 AM,17029,17031.5,17028.5,17030.75,228,,,,,,20240102,13200
1/2/2024,1:32 AM,17031.25,17031.5,17028.75,17029,105,,,,,,20240102,13300
1/2/2024,1:33 AM,17028.75,17029.75,17028.25,17029.75,96,,,,,,20240102,13400
1/2/2024,1:34 AM,17029,17029,17026.5,17027.75,124,,,,,,20240102,13500
1/2/2024,1:35 AM,17027.5,17028.25,17026.5,17026.75,80,,,,,,20240102,13600
1/2/2024,1:36 AM,17026.5,17026.5,17023.75,17025.25,248,,,,,,20240102,13700
1/2/2024,1:37 AM,17025.25,17025.75,17023.75,17025.25,173,,,,,,20240102,13800
1/2/2024,1:38 AM,17025,17026,17023,17023.25,161,,,,,,20240102,13900
1/2/2024,1:39 AM,17023.25,17023.75,17022.5,17022.75,131,,,,,,20240102,14000
1/2/2024,1:40 AM,17022.75,17022.75,17019,17020.25,429,,,,,,20240102,14100
1/2/2024,1:41 AM,17020,17020.25,17018.25,17020,282,,,,,,20240102,14200
1/2/2024,1:42 AM,17020,17020.25,17015,17015.75,381,,,,,,20240102,14300
1/2/2024,1:43 AM,17015.5,17016,17011,17011.75,590,,,,,,20240102,14400
1/2/2024,1:44 AM,17011.5,17013.5,17011.25,17012.75,248,,,,,,20240102,14500
1/2/2024,1:45 AM,17013,17015,17012.75,17015,138,,,,,,20240102,14600
1/2/2024,1:46 AM,17015,17022.5,17015,17018.75,498,,,,,,20240102,14700
1/2/2024,1:47 AM,17018.5,17018.5,17016,17016.5,126,,,,,,20240102,14800
1/2/2024,1:48 AM,17017.25,17018.5,17015.75,17016.25,164,,,,,,20240102,14900
1/2/2024,1:49 AM,17016.25,17016.75,17015,17015.75,167,,,,,,20240102,15000
1/2/2024,1:50 AM,17015.25,17015.75,17013.75,17014,125,,,,,,20240102,15100
1/2/2024,1:51 AM,17014.5,17016,17013.75,17014.25,97,,,,,,20240102,15200
1/2/2024,1:52 AM,17013.75,17018,17013.5,17017.75,156,,,,,,20240102,15300
1/2/2024,1:53 AM,17018.25,17018.25,17016,17016,81,,,,,,20240102,15400
1/2/2024,1:54 AM,17016,17017.25,17015.75,17017.25,45,,,,,,20240102,15500
1/2/2024,1:55 AM,17017,17017.75,17016.5,17017.25,75,,,,,,20240102,15600
1/2/2024,1:56 AM,17017.25,17018.5,17016.5,17017.5,96,,,,,,20240102,15700
1/2/2024,1:57 AM,17017.75,17018,17015.75,17015.75,69,,,,,,20240102,15800
1/2/2024,1:58 AM,17015.75,17016,17014,17016,114,,,,,,20240102,15900
1/2/2024,1:59 AM,17015.75,17017,17015.25,17016.5,64,,,,,,20240102,20000
1/2/2024,2:00 AM,17016.25,17016.25,17014.25,17014.25,55,,,,,,20240102,20100
1/2/2024,2:01 AM,17014.5,17016,17014,17016,118,,,,,,20240102,20200
1/2/2024,2:02 AM,17015.5,17016.5,17014.25,17016.5,51,,,,,,20240102,20300
1/2/2024,2:03 AM,17016.75,17017.75,17016.5,17017.25,134,,,,,,20240102,20400
1/2/2024,2:04 AM,17017.5,17018.75,17015.5,17016.25,208,,,,,,20240102,20500
1/2/2024,2:05 AM,17016.25,17018.5,17016.25,17018,50,,,,,,20240102,20600
1/2/2024,2:06 AM,17018.25,17018.75,17017.75,17018.5,96,,,,,,20240102,20700
1/2/2024,2:07 AM,17018.5,17018.5,17016.75,17016.75,39,,,,,,20240102,20800
1/2/2024,2:08 AM,17017.5,17018.25,17017,17018,76,,,,,,20240102,20900
1/2/2024,2:09 AM,17017.75,17017.75,17016.25,17017.5,46,,,,,,20240102,21000
1/2/2024,2:10 AM,17017.25,17018.75,17017.25,17018.25,76,,,,,,20240102,21100
1/2/2024,2:11 AM,17018,17019,17018,17018.75,45,,,,,,20240102,21200
1/2/2024,2:12 AM,17018.5,17018.5,17016.5,17017,75,,,,,,20240102,21300
1/2/2024,2:13 AM,17017.25,17017.5,17016.25,17017.25,55,,,,,,20240102,21400
1/2/2024,2:14 AM,17017,17017.5,17016.75,17016.75,50,,,,,,20240102,21500
1/2/2024,2:15 AM,17016.75,17017.5,17016.5,17017,41,,,,,,20240102,21600
1/2/2024,2:16 AM,17016.75,17017,17013.5,17015.25,264,,,,,,20240102,21700
1/2/2024,2:17 AM,17015.5,17016.75,17015.25,17015.75,63,,,,,,20240102,21800
1/2/2024,2:18 AM,17015.75,17016,17015,17015.75,56,,,,,,20240102,21900
1/2/2024,2:19 AM,17016.25,17016.25,17014.25,17014.25,34,,,,,,20240102,22000
1/2/2024,2:20 AM,17014.25,17014.25,17012.5,17013.75,156,,,,,,20240102,22100
