,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,Points,Futures PnL,Net Futures PnL
0,0,0,1.0,2024-01-02 00:47:00,17027.7026,0.0,2024-01-02 00:49:00,17023.547475,0.0,-4.155125000001135,-0.00024402146887397098,Long,Closed,0,-4.155125000001135,-8.31025000000227,-11.31025000000227
1,1,0,1.0,2024-01-02 00:52:00,17028.452675,0.0,2024-01-02 01:35:00,17025.047325,0.0,-3.405350000000908,-0.00019998000199985335,Long,Closed,1,-3.405350000000908,-6.810700000001816,-9.810700000001816
2,2,0,1.0,2024-01-02 03:13:00,17013.451175,0.0,2024-01-02 03:23:00,17004.549375,0.0,-8.90179999999964,-0.0005232212975742495,Long,Closed,2,-8.90179999999964,-17.80359999999928,-20.80359999999928
3,3,0,1.0,2024-01-02 04:17:00,17009.20075,0.0,2024-01-02 05:01:00,17007.79905,0.0,-1.4016999999985273,-8.240834008608707e-05,Long,Closed,3,-1.4016999999985273,-2.8033999999970547,-5.803399999997055
4,4,0,1.0,2024-01-02 05:13:00,17015.20135,0.0,2024-01-02 06:07:00,17011.79865,0.0,-3.402699999998731,-0.00019998000199972546,Long,Closed,4,-3.402699999998731,-6.805399999997462,-9.805399999997462
5,5,0,1.0,2024-01-02 07:14:00,17019.451775,0.0,2024-01-02 07:49:00,17015.548275,0.0,-3.9035000000003492,-0.00022935521376394916,Long,Closed,5,-3.9035000000003492,-7.8070000000006985,-10.807000000000698
6,6,0,1.0,2024-01-02 08:03:00,17027.452575,0.0,2024-01-02 08:53:00,17027.547075,0.0,0.0944999999992433,5.549861295047142e-06,Long,Closed,6,0.0944999999992433,0.1889999999984866,-2.8110000000015134
7,7,0,1.0,2024-01-02 10:45:00,16995.6994,0.0,2024-01-02 10:52:00,16979.80185,0.0,-15.897550000001502,-0.0009353866308085857,Long,Closed,7,-15.897550000001502,-31.795100000003004,-34.795100000003
8,8,0,1.0,2024-01-02 13:34:00,16846.6845,0.0,2024-01-02 14:37:00,16822.81755,0.0,-23.866949999999633,-0.0014167149625197548,Long,Closed,8,-23.866949999999633,-47.73389999999927,-50.73389999999927
9,9,0,1.0,2024-01-02 16:07:00,16730.17285,0.0,2024-01-02 17:20:00,16760.073825,0.0,29.90097500000047,0.0017872484204489538,Long,Closed,9,29.90097500000047,59.80195000000094,56.80195000000094
10,10,0,1.0,2024-01-02 17:42:00,16785.17835,0.0,2024-01-02 17:49:00,16746.3252,0.0,-38.853149999999005,-0.0023147296495660418,Long,Closed,10,-38.853149999999005,-77.70629999999801,-80.70629999999801
11,11,0,1.0,2024-01-02 18:31:00,16736.923525,0.0,2024-01-02 18:53:00,16709.078925,0.0,-27.844599999996717,-0.0016636629759588222,Long,Closed,11,-27.844599999996717,-55.689199999993434,-58.689199999993434
12,12,0,1.0,2024-01-02 19:36:00,16698.419675,0.0,2024-01-02 19:42:00,16682.581575,0.0,-15.83810000000085,-0.0009484789763496497,Long,Closed,12,-15.83810000000085,-31.6762000000017,-34.6762000000017
13,13,0,1.0,2024-01-02 20:37:00,16647.6646,0.0,2024-01-02 23:19:00,16722.577575,0.0,74.91297499999928,0.0044999089541964505,Long,Closed,13,74.91297499999928,149.82594999999856,146.82594999999856
14,14,0,1.0,2024-01-03 00:01:00,16726.922524999998,0.0,2024-01-03 00:41:00,16718.577975,0.0,-8.34454999999798,-0.0004988694117238988,Long,Closed,14,-8.34454999999798,-16.68909999999596,-19.68909999999596
